Nombre,Breve descripción,Componentes,Duración,Esfera de conjuro,Materiales,"Nivel ",Rango,Ritual,Tiempo de lanzamiento,Tipo duración
Hablar con Animales,El lenguaje de las bestias no es misterio para ti; su sabiduría salvaje es tuya por un momento.,"S, V",10 minutos,Simbiosis,,1º círculo,Personal,Yes,10 minutos,Intervalo de tiempo (https://app.notion.com/p/Intervalo-de-tiempo-15b82858a775800db5ebfb0fb6129245?pvs=21)
Caída de Pluma,"La gravedad negocia contigo; las que caerían mueren, caen como hojas de otoño.","M, V",1 minuto,"Cinético, Cénit",Una pluma de cualquier ave,1º círculo,12 casillas,Yes,1 reacción,Intervalo de tiempo (https://app.notion.com/p/Intervalo-de-tiempo-15b82858a775800db5ebfb0fb6129245?pvs=21)
Disfraz Ilusorio,Tu apariencia no es más que sugestión; el mundo ve lo que tú quieres que vean.,"S, V",8 horas,Espejismo,,1º círculo,Personal,Yes,1 acción,Intervalo de tiempo (https://app.notion.com/p/Intervalo-de-tiempo-15b82858a775800db5ebfb0fb6129245?pvs=21)
Escudo,Una barrera de fuerza pura te protege de lo que no puedes ver venir; el conjuro vela por ti.,"S, V",Hasta el inicio de tu próximo turno,"Cinético, Restauración",,1º círculo,Personal,No,1 reacción,Intervalo de tiempo (https://app.notion.com/p/Intervalo-de-tiempo-15b82858a775800db5ebfb0fb6129245?pvs=21)
Heroísmo,La valentía no es ausencia de miedo; es magia que te recuerda que debes seguir de pie.,"S, V","Concentración, hasta 1 minuto",Restauración,,1º círculo,Contacto,No,1 acción,Concentración (https://app.notion.com/p/Concentraci-n-ae225ac34e8d45eaa1895be889d50718?pvs=21)
Duelo Obligado,Tu mirada se fija en el enemigo y la magia refuerza la amenaza implícita: es a mí a quien atacas.,V,"Concentración, hasta 1 minuto","Destino, Mente",,1º círculo,6 casillas,No,1 acción bono,Concentración (https://app.notion.com/p/Concentraci-n-ae225ac34e8d45eaa1895be889d50718?pvs=21)
Vínculo de Sacrificio,"Vinculas tu vida a la de otro; su dolor pasa a ti, su supervivencia es tu prioridad.","M, S, V","Concentración, hasta 1 hora","Restauración, Ruina","Un hilo rojo que se ata entre ambas muñecas ",1º círculo,Contacto,No,1 acción,Concentración (https://app.notion.com/p/Concentraci-n-ae225ac34e8d45eaa1895be889d50718?pvs=21)
Invocar Cobertura,Lanzas un muro de fuerza o piedra que protege al vulnerable y da tiempo al débil.,"S, V","Concentración, hasta 1 minuto","Cinético, Cénit",,1º círculo,8 casillas,No,1 acción bono,Concentración (https://app.notion.com/p/Concentraci-n-ae225ac34e8d45eaa1895be889d50718?pvs=21)
Marca del Guardián,"Señalas al peligroso y te conviertes en su sombra; donde él golpee, tú golpeas más fuerte.",V,"Concentración, hasta 1 hora",Destino,,1º círculo,6 casillas,No,1 acción bono,Concentración (https://app.notion.com/p/Concentraci-n-ae225ac34e8d45eaa1895be889d50718?pvs=21)
Aura Protectora,Una luz tenue emana de ti y cobija a los cercanos; los golpes que los encontrarían rebotan.,"S, V","Concentración, hasta 10 minutos","Destino, Restauración",,1º círculo,Personal (radio 2 casillas),No,1 acción,Concentración (https://app.notion.com/p/Concentraci-n-ae225ac34e8d45eaa1895be889d50718?pvs=21)
Agrandar/Reducir,"Desafías la escala natural; lo pequeño se vuelve temible, lo grande se vuelve manejable.","M, S, V","Concentración, hasta 1 minuto","Catálisis, Cinético",Un pellizco de polvo de hierro,1º círculo,6 casillas,No,1 acción,Concentración (https://app.notion.com/p/Concentraci-n-ae225ac34e8d45eaa1895be889d50718?pvs=21)
Provocar,"Tu voz, tu presencia, tu desafío; el enemigo olvida a los demás y solo te ve a ti.",V,"Concentración, hasta 1 minuto","Destino, Mente",,1º círculo,8 casillas,No,1 acción bono,Concentración (https://app.notion.com/p/Concentraci-n-ae225ac34e8d45eaa1895be889d50718?pvs=21)
Sanación Menor,Canalizas la esencia de la vida a través de tus manos; las heridas se cierran ante tu voluntad.,"S, V",Instantáneo,Restauración,,1º círculo,Contacto,No,1 acción,Instantáneo (https://app.notion.com/p/Instant-neo-fd7b6c1ffff0428884c14c221d445309?pvs=21)
Palabra de Curación,Una sílaba de vida pronunciada en el momento correcto puede hacer la diferencia entre existir y no.,V,Instantáneo,"Mente, Restauración",,1º círculo,12 casillas,No,1 acción bono,Instantáneo (https://app.notion.com/p/Instant-neo-fd7b6c1ffff0428884c14c221d445309?pvs=21)
Abrir / Cerrar,Tu voluntad reemplaza la llave; las puertas obedecen y los cerrojos recuerdan que eres tú.,"M, S, V",Instantáneo,"Cinético, Realidad",Un eslabón roto de cota de malla,1º círculo,6 casillas,No,1 acción,Instantáneo (https://app.notion.com/p/Instant-neo-fd7b6c1ffff0428884c14c221d445309?pvs=21)
Fluidez Idiomática,Tu boca forma palabras que tu mente no conoce; los idiomas fluyen a través de ti como agua.,"M, V",1 hora,Mente,"Una pluma de ave migratoria ",1º círculo,Personal,No,1 acción,Intervalo de tiempo (https://app.notion.com/p/Intervalo-de-tiempo-15b82858a775800db5ebfb0fb6129245?pvs=21)
Inventario Consciente,Tu bolsa aprende; los objetos acuden a tu mano antes de que termines de pedirlos.,"M, S, V",24 horas,Cinético,Una etiqueta de tela con tus iniciales bordadas,1º círculo,Contacto,No,1 acción,Intervalo de tiempo (https://app.notion.com/p/Intervalo-de-tiempo-15b82858a775800db5ebfb0fb6129245?pvs=21)
Ceremonia,Pronuncias palabras antiguas con intención verdadera; el ritual mundano se vuelve permanente.,"M, S, V",Hasta ser disipado (o permanente según efecto),"Destino, Restauración","Incienso sagrado y polvo de plata, 25 PO — consumible",1º círculo,Contacto,No,1 hora,Intervalo de tiempo (https://app.notion.com/p/Intervalo-de-tiempo-15b82858a775800db5ebfb0fb6129245?pvs=21)
Ojo Arcano,"Un ojo invisible viaja donde tú no puedes; ves sin ser visto, escuchas sin estar presente.","M, S, V","Concentración, hasta 1 hora","Destino, Espejismo",Un pelo de tus pestañas,1º círculo,Personal (el ojo puede alejarse hasta 60 casillas),No,1 acción,Concentración (https://app.notion.com/p/Concentraci-n-ae225ac34e8d45eaa1895be889d50718?pvs=21)
Identificar,Tocas lo desconocido y lo desconocido te habla; sus secretos arcanos se revelan ante ti.,"M, S, V",Instantáneo,"Cinético, Destino","Una pluma de lechuza y un toque de vino de uva, 10 PO",1º círculo,Contacto,Yes,1 minuto,Instantáneo (https://app.notion.com/p/Instant-neo-fd7b6c1ffff0428884c14c221d445309?pvs=21)
Localizar Objeto,Cierras los ojos y el objeto tira de ti; la distancia es irrelevante ante tu certeza.,"M, S, V",Concentración,Destino,Una bifurcación de sauce,1º círculo,Personal (radio 200 casillas),No,1 acción,Concentración (https://app.notion.com/p/Concentraci-n-ae225ac34e8d45eaa1895be889d50718?pvs=21)
Mano Invisible,Una mano que nadie ve hace el trabajo que necesitas; la magia del hogar hecha conjuro.,"S, V","Concentración, hasta 1 hora","Cénit, Origen",,1º círculo,6 casillas,No,1 acción,Concentración (https://app.notion.com/p/Concentraci-n-ae225ac34e8d45eaa1895be889d50718?pvs=21)
Oscuridad / Luz,"Con una palabra, el mundo se oscurece o se ilumina; eres el árbitro de la visibilidad.","M, V","Concentración, hasta 10 minutos","Energía, Espejismo",Un trozo de betún o un fragmento de cuarzo luminiscente,1º círculo,12 casillas,No,1 acción,Concentración (https://app.notion.com/p/Concentraci-n-ae225ac34e8d45eaa1895be889d50718?pvs=21)
Imagen Menor,"Creas lo que no existe; el ojo lo ve, el oído lo cree, la mente duda demasiado tarde.","M, S, V","Concentración, hasta 10 minutos",Espejismo,Un trozo de vellón de oveja,1º círculo,12 casillas,No,1 acción,Concentración (https://app.notion.com/p/Concentraci-n-ae225ac34e8d45eaa1895be889d50718?pvs=21)
Encontrar Montura,"Un espíritu de pura lealtad toma forma bestial, vinculándose a ti con una devoción sobrenatural.","M, S, V",Hasta ser descartada,Origen,"Una brida de cuero trenzado con hilo de plata, 10 PO",2º círculo,6 casillas,No,10 minutos,Intervalo de tiempo (https://app.notion.com/p/Intervalo-de-tiempo-15b82858a775800db5ebfb0fb6129245?pvs=21)
Rastrear Huella,Las marcas invisibles del paso reciente brillan ante tus ojos como sendas de luz dorada.,"M, S, V","Concentración, hasta 1 hora","Destino, Simbiosis",Un mechón de pelo o pluma de animal,2º círculo,Personal (radio 12 casillas),No,1 acción,Concentración (https://app.notion.com/p/Concentraci-n-ae225ac34e8d45eaa1895be889d50718?pvs=21)
Localizar Criatura,"Un hilo invisible une tu pecho al ser buscado, tirando suavemente hacia él desde la distancia.","M, S, V","Concentración, hasta 1 hora","Destino, Mente","Un pelo, escama o pluma de la criatura buscada",2º círculo,Personal (radio 20 casillas),No,1 acción,Concentración (https://app.notion.com/p/Concentraci-n-ae225ac34e8d45eaa1895be889d50718?pvs=21)
Detectar Pensamientos,"Los pensamientos ajenos se filtran como susurros bajo el agua, claros si te acercas lo suficiente.","M, S, V","Concentración, hasta 1 minuto",Mente,Un cobre de cualquier moneda sostenido entre los dedos,2º círculo,Personal (radio 12 casillas),No,1 acción,Concentración (https://app.notion.com/p/Concentraci-n-ae225ac34e8d45eaa1895be889d50718?pvs=21)
Ojo de Vigilancia,"Un ojo de luz etérea flota en el aire, silencioso e incansable, registrando todo cuanto ve.","M, S, V","Concentración, hasta 1 hora","Destino, Espejismo",Un trozo de vidrio pulido,2º círculo," 12 casillas",No,1 acción,Concentración (https://app.notion.com/p/Concentraci-n-ae225ac34e8d45eaa1895be889d50718?pvs=21)
Detectar Trampa,"La magia recorre el espacio como dedos invisibles, tropezando con cada trampa oculta.","S, V",Instantáneo,"Cinético, Destino",,2º círculo,"Personal (radio 12 casillas, solo lo que puedas ver)",No,1 acción,Instantáneo (https://app.notion.com/p/Instant-neo-fd7b6c1ffff0428884c14c221d445309?pvs=21)
Escucha del Viento,"El viento transporta voces distantes hasta tus oídos, susurrando secretos que el aire ha guardado.","M, S, V","Concentración, hasta 10 minutos","Destino, Espejismo",Una caracola marina vacía,2º círculo,Personal (radio 60 casillas),No,1 acción,Concentración (https://app.notion.com/p/Concentraci-n-ae225ac34e8d45eaa1895be889d50718?pvs=21)
Señal del Vínculo,"Un hilo invisible une a dos seres, vibrando suavemente cuando el corazón del otro late con urgencia.","M, S, V",24 horas,"Destino, Origen",Dos trozos del mismo hilo rojo,2º círculo,Toque,No,1 acción,Intervalo de tiempo (https://app.notion.com/p/Intervalo-de-tiempo-15b82858a775800db5ebfb0fb6129245?pvs=21)
Mapa Vivo,"El pergamino cobra vida y dibuja el mundo a tu alrededor, revelando caminos que los ojos no ven.","M, S, V",8 horas,"Destino, Espejismo",Carboncillo y un trozo de pergamino,2º círculo," Personal (radio 100 casillas)",No,1 minuto,Intervalo de tiempo (https://app.notion.com/p/Intervalo-de-tiempo-15b82858a775800db5ebfb0fb6129245?pvs=21)
Gotas del Tintero,"Cuatro manchas de tinta viviente saltan al aire, buscan ojos y estallan en ceguera oscura.","M, S, V",Instantáneo,"Catálisis, Espejismo",Un frasco de tinta negra,2º círculo,12 casillas,No,1 acción,Instantáneo (https://app.notion.com/p/Instant-neo-fd7b6c1ffff0428884c14c221d445309?pvs=21)
Calabazas Burlonas,"Cuatro cabezas de calabaza risueñas revolotean, cuchichean horrores y estallan en carcajadas silenciadoras.","M, S, V",Instantáneo,"Mente, Simbiosis",Una semilla de calabaza tallada con una sonrisa,2º círculo,10 casillas,No,1 acción,Instantáneo (https://app.notion.com/p/Instant-neo-fd7b6c1ffff0428884c14c221d445309?pvs=21)
Mariposa de Papel,Cuatro mariposas de papel desplegadas vuelan hacia sus destinatarios portando efímeras bendiciones sanadoras.,"M, S, V",Instantáneo,Restauración,Cuatro cuadrados de papel doblado,2º círculo,12 casillas,No,1 acción,Instantáneo (https://app.notion.com/p/Instant-neo-fd7b6c1ffff0428884c14c221d445309?pvs=21)
Pájaros del Mal Augurio,Cuatro cuervos de ceniza agitan alas de presagio y estallan sobre sus víctimas en maldición oscura.,"M, S, V",Instantáneo,Ruina,Una pluma negra de cuervo,2º círculo,12 casillas,No,1 acción,Instantáneo (https://app.notion.com/p/Instant-neo-fd7b6c1ffff0428884c14c221d445309?pvs=21)
Ratones del Relojero,Cuatro ratones de engranajes y resortes corren frenéticos y explotan trabando mecanismos y tendones.,"M, S, V",Instantáneo,"Cinético, Origen",Un engranaje diminuto de cobre,2º círculo,12 casillas,No,1 acción,Instantáneo (https://app.notion.com/p/Instant-neo-fd7b6c1ffff0428884c14c221d445309?pvs=21)
Luciérnagas del Recuerdo,Cuatro luciérnagas doradas penetran en los ojos y susurran recuerdos ajenos hasta aturdir la mente.,"M, S, V",Instantáneo,Mente,Polvo de ámbar,2º círculo,12 casillas,No,1 acción,Instantáneo (https://app.notion.com/p/Instant-neo-fd7b6c1ffff0428884c14c221d445309?pvs=21)
Avispas de Ácido,Cuatro avispas de cristal líquido zumban y estallan en salpicaduras de ácido corrosivo sobre la armadura.,"M, S, V",Instantáneo,"Catálisis, Ruina",Una gota de vinagre,2º círculo," 12 casillas",No,1 acción,Instantáneo (https://app.notion.com/p/Instant-neo-fd7b6c1ffff0428884c14c221d445309?pvs=21)
Peces de Hielo,Cuatro pececillos de escarcha nadan por el aire y estallan en lluvias de cristales helados paralizantes.,"M, S, V",Instantáneo,"Catálisis, Energía","Una astilla de hielo, consumida",2º círculo,12 casillas,No,1 acción,Instantáneo (https://app.notion.com/p/Instant-neo-fd7b6c1ffff0428884c14c221d445309?pvs=21)
Farolillos de la Fiebre,"Cuatro faroles de luz enfermiza flotan, irradian calor putrefacto y estallan en vapores febriles agotadores.","M, S, V",Instantáneo,"Mente, Ruina",Una mecha quemada,2º círculo,12 casillas,No,1 acción,Instantáneo (https://app.notion.com/p/Instant-neo-fd7b6c1ffff0428884c14c221d445309?pvs=21)
Serpientes de Relámpago,Cuatro serpientes de luz eléctrica se retuercen por el aire y estallan en descargas que paralizan músculos.,"M, S, V",Instantáneo,Energía,Un cable de cobre de 1 pulgada,2º círculo,12 casillas,No,1 acción,Instantáneo (https://app.notion.com/p/Instant-neo-fd7b6c1ffff0428884c14c221d445309?pvs=21)
Glifo Petrificador,"Trazas espirales de piedra que esperan, pacientes como la roca misma, el paso del incauto.","M, S, V",Hasta activarse o hasta 30 días,Cénit,"Polvo de piedra caliza y un grafito de mineral, 15 PO",2º círculo,Toque,Yes,10 minutos,Intervalo de tiempo (https://app.notion.com/p/Intervalo-de-tiempo-15b82858a775800db5ebfb0fb6129245?pvs=21)
Glifo Sanador,"Runas de luz dorada aguardan dormidas, listas para despertar en abrazo curador al primer aliado herido.","M, S, V",Hasta activarse o hasta 30 días,Restauración,"Hierbas medicinales y miel, 10 PO",2º círculo,Toque,Yes,10 minutos,Intervalo de tiempo (https://app.notion.com/p/Intervalo-de-tiempo-15b82858a775800db5ebfb0fb6129245?pvs=21)
Glifo Energético,"Trazas signos de fuego, trueno o relámpago que aguardan el momento de estallar en violencia elemental.","M, S, V",Hasta activarse o hasta 30 días,"Cinético, Energía","Carbón, azufre o un imán, según el tipo",2º círculo,Toque,Yes,10 minutos,Intervalo de tiempo (https://app.notion.com/p/Intervalo-de-tiempo-15b82858a775800db5ebfb0fb6129245?pvs=21)
Glifo de Suerte,Runas de destino tejidas con fortuna aguardan para inclinar la balanza en el momento más decisivo.,"M, S, V",Hasta activarse o hasta 30 días,Destino,"Una moneda de oro lanzada al aire durante el ritual, 1 PO",2º círculo,"Toque ",Yes,10 minutos,Intervalo de tiempo (https://app.notion.com/p/Intervalo-de-tiempo-15b82858a775800db5ebfb0fb6129245?pvs=21)
Glifo Silenciador,Trazas runas del silencio que esperan la voz incauta para ahogarla en un vacío de sonido absoluto.,"M, S, V"," Hasta activarse o hasta 30 días","Destino, Espejismo, Mente",Cera de vela negra,2º círculo,Toque,Yes,10 minutos,Intervalo de tiempo (https://app.notion.com/p/Intervalo-de-tiempo-15b82858a775800db5ebfb0fb6129245?pvs=21)
Glifo Debilitador,"Runas de marchitamiento se ocultan en el umbral, esperando robar la fuerza vital del incauto.","M, S, V",Hasta activarse o hasta 30 días,Ruina,"Polvo de hueso y sal gorda, 10 PO, consumidos",2º círculo,"Toque ",Yes,10 minutos,Intervalo de tiempo (https://app.notion.com/p/Intervalo-de-tiempo-15b82858a775800db5ebfb0fb6129245?pvs=21)
Glifo Encadenador,"Runas de tierra y metal aguardan bajo el polvo, listas para brotar en cadenas de energía sólida.","M, S, V",Hasta activarse o hasta 30 días,"Cénit, Origen","Limaduras de hierro y resina, 15 PO, consumidos",2º círculo,Toque,Yes,10 minutos,Intervalo de tiempo (https://app.notion.com/p/Intervalo-de-tiempo-15b82858a775800db5ebfb0fb6129245?pvs=21)
Glifo de Revelación,"Runas que rompen ilusiones aguardan silenciosas, listas para arrancar máscaras y velar verdades ocultas.","M, S, V",Hasta activarse o hasta 30 días,"Espejismo, Mente","Arena de plata y un espejo roto, 20 PO, consumidos",2º círculo,"Toque ",Yes,10 minutos,Intervalo de tiempo (https://app.notion.com/p/Intervalo-de-tiempo-15b82858a775800db5ebfb0fb6129245?pvs=21)
Glifo de Veneno,"Runas de veneno reptante se ocultan en el borde del vaso o en el umbral del paso, aguardando.","M, S, V",Hasta activarse o hasta 30 días,"Catálisis, Ruina","Bilis de sapo y baya de tejo, 10 PO, consumidos",2º círculo,"Toque ",Yes,10 minutos,Intervalo de tiempo (https://app.notion.com/p/Intervalo-de-tiempo-15b82858a775800db5ebfb0fb6129245?pvs=21)
Glifo de Vigor,"Runas doradas de vigor duermen en el suelo del campamento, esperando al guerrero que más las necesite.","M, S, V",Hasta activarse o hasta 30 días,"Cinético, Restauración",Hojas de laurel y una piedra de río,2º círculo,"Toque ",Yes,10 minutos,Intervalo de tiempo (https://app.notion.com/p/Intervalo-de-tiempo-15b82858a775800db5ebfb0fb6129245?pvs=21)
Invocar Cieno,"Una masa gelatinosa y hambrienta emerge del suelo, obedeciendo con babosa devoción.","M, S, V","Concentración, hasta 1 hora","Catálisis, Origen, Ruina","Limo de pantano y un cristal roto, 10 PO, consumidos",2º círculo,6 casillas,No,1 acción,Concentración (https://app.notion.com/p/Concentraci-n-ae225ac34e8d45eaa1895be889d50718?pvs=21)
Aliento Cromático,Exhalas una ráfaga de energía pura que tiñe el aire del color de la esfera invocada.,"S, V",Instantáneo,"Catálisis, Cinético, Cénit, Destino, Energía, Espejismo, Mente, Origen, Realidad, Restauración, Ruina, Simbiosis",,2º círculo,Cono de 6 casillas,No,1 acción,Instantáneo (https://app.notion.com/p/Instant-neo-fd7b6c1ffff0428884c14c221d445309?pvs=21)
Lluvia de Brasas Azules,El cielo escupe carbones de un azul frío y antinatural que arden en la mente tanto como en la piel.,"M, S, V","Instantáneo ","Energía, Mente",Una pizca de azufre azulado,2º círculo,"Cilindro de radio 4 casillas, altura 4 casillas",No,1 acción,Instantáneo (https://app.notion.com/p/Instant-neo-fd7b6c1ffff0428884c14c221d445309?pvs=21)
Pétalos Somnolientos,"Pétalos rosados y perfumados caen como nieve, susurrando sueños a quienes los inhalan.","M, S, V","Instantáneo ","Espejismo, Simbiosis",Pétalos de amapola seca,2º círculo,Esfera de radio 5 casillas,No,1 acción,Instantáneo (https://app.notion.com/p/Instant-neo-fd7b6c1ffff0428884c14c221d445309?pvs=21)
Marea de Pensamientos,"Una ola invisible de ruido mental ajeno golpea todas las mentes del área, desorientando con recuerdos extraños.","S, V","Instantáneo ","Mente, Realidad",,2º círculo,Cubo de 6×6 casillas,No,1 acción,Instantáneo (https://app.notion.com/p/Instant-neo-fd7b6c1ffff0428884c14c221d445309?pvs=21)
Lluvia de Polen,"Una nube de esporas brillantes y nauseabundas desciende, infectando pulmones y llenando los ojos de lágrimas.","M, S, V","Instantáneo ","Catálisis, Simbiosis",Un diente de león,2º círculo,"Cilindro de radio 5 casillas, altura 3 casillas",No,1 acción,Instantáneo (https://app.notion.com/p/Instant-neo-fd7b6c1ffff0428884c14c221d445309?pvs=21)
Flecha cromática,"Un proyectil de energía pura surca el aire silbando con el poder de la esfera convocada.
","M, S, V",Instantáneo,"Catálisis, Cinético, Cénit, Destino, Energía, Espejismo, Mente, Origen, Realidad, Restauración, Ruina","Una punta de flecha del material correspondiente a la esfera, 1 PO",2º círculo,24 casillas,No,1 acción,Instantáneo (https://app.notion.com/p/Instant-neo-fd7b6c1ffff0428884c14c221d445309?pvs=21)
Escudo cromático,"Tu cuerpo se envuelve en una aura palpitante del color de la esfera convocada, lista para devorar el golpe.","S, V",1 ronda,"Catálisis, Cinético, Cénit, Destino, Energía, Espejismo, Mente, Origen, Realidad, Restauración, Ruina",,2º círculo,Personal,No,1 reacción,Intervalo de tiempo (https://app.notion.com/p/Intervalo-de-tiempo-15b82858a775800db5ebfb0fb6129245?pvs=21)
Vendaval de Cenizas,"Un vendaval de cenizas ardientes roba la visión y quema la piel, dejando el mundo en un gris abrasador.","M, S, V","Instantáneo ","Energía, Espejismo",Una pizca de ceniza,2º círculo,Cono de 8 casillas,No,1 acción,Instantáneo (https://app.notion.com/p/Instant-neo-fd7b6c1ffff0428884c14c221d445309?pvs=21)
Niebla Sanguínea,Una bruma roja y cálida envuelve el área emanando el olor ferroso de la sangre derramada.,"M, S, V","Instantáneo ","Espejismo, Ruina",Una gota de sangre,2º círculo,Esfera de radio 4 casillas,No,1 acción,Instantáneo (https://app.notion.com/p/Instant-neo-fd7b6c1ffff0428884c14c221d445309?pvs=21)
Granizo de Cristal,El cielo suelta cristales afilados como agujas que dejan las piernas entumecidas y los reflejos rotos.,"M, S, V",Instantáneo,"Catálisis, Cénit","Una esquirla de cuarzo,",2º círculo,"Cilindro de radio 4 casillas, altura 6 casillas",No,1 acción,Instantáneo (https://app.notion.com/p/Instant-neo-fd7b6c1ffff0428884c14c221d445309?pvs=21)
Enjambre de Chispas,"Miles de chispas eléctricas bailan frenéticas en el área, aferradas a armaduras y músculos por igual.","S, V","Instantáneo ","Cinético, Energía",,2º círculo,Esfera de radio 5 casillas,No,1 acción,Instantáneo (https://app.notion.com/p/Instant-neo-fd7b6c1ffff0428884c14c221d445309?pvs=21)
Lluvia Helada,El aire se congela de golpe y una lluvia de aguanieve mágica hace tiritar hasta los huesos más curtidos.,"M, S, V","Instantáneo ","Catálisis, Energía",Una astilla de hielo,2º círculo,"Cilindro de radio 5 casillas, altura 3 casillas",No,1 acción,Instantáneo (https://app.notion.com/p/Instant-neo-fd7b6c1ffff0428884c14c221d445309?pvs=21)
Velo de Sombras Somnámbulas,"Figuras de sombra bailan al borde de la visión, susurrando nombres, sembrando terror en los corazones débiles.
","M, S, V","Instantáneo ","Espejismo, Mente",Un trozo de paño negro,2º círculo,Cubo de 5×5 casillas,No,1 acción,Instantáneo (https://app.notion.com/p/Instant-neo-fd7b6c1ffff0428884c14c221d445309?pvs=21)
Látigo de Agua,"Un flagelo de agua pura surge de tu mano, obediente y veloz, arrastrando a los enemigos lejos de ti.","S, V","Concentración, hasta 1 minuto",Catálisis,,2º círculo,10 casillas,No,1 acción,Concentración (https://app.notion.com/p/Concentraci-n-ae225ac34e8d45eaa1895be889d50718?pvs=21)
Piso Quebradizo,"El suelo cruje, se quiebra y se convierte en trampa de gravilla traicionera bajo los pasos del enemigo.","M, S, V","Concentración, hasta 1 minuto",Cénit,Arena y un trozo de pizarra,2º círculo,Cuadrado de 4×4 casillas,No,1 minuto,Concentración (https://app.notion.com/p/Concentraci-n-ae225ac34e8d45eaa1895be889d50718?pvs=21)
Espejismo de Huida,Te desvaneces en una imagen falsa y reapareces donde el enemigo no esperaba encontrarte.,V,Instantáneo,"Espejismo, Realidad",,2º círculo,Personal,No,1 acción bono,Instantáneo (https://app.notion.com/p/Instant-neo-fd7b6c1ffff0428884c14c221d445309?pvs=21)
Portal Corto,"Dos marcos de luz se abren momentáneamente en el espacio, creando un pasaje efímero donde no debería existir.","S, V",Hasta el inicio de tu próximo turno,"Destino, Realidad",,2º círculo,12 casillas,No,1 acción bono,Intervalo de tiempo (https://app.notion.com/p/Intervalo-de-tiempo-15b82858a775800db5ebfb0fb6129245?pvs=21)
Muro de Viento,"Una pared de aire comprimido ruge entre tú y el enemigo, desviando flechas y empujando cuerpos.","M, S, V","Concentración, hasta 1 minuto","Cinético, Energía",Una pluma,2º círculo,16 casillas,No,1 acción,Concentración (https://app.notion.com/p/Concentraci-n-ae225ac34e8d45eaa1895be889d50718?pvs=21)
Cadenas de Luz,Rayos de luz solidificada se enrollan alrededor de las extremidades del objetivo con un zumbido luminoso.,"S, V","Concentración, hasta 1 minuto","Cénit, Espejismo",,2º círculo,12 casillas,No,1 acción,Concentración (https://app.notion.com/p/Concentraci-n-ae225ac34e8d45eaa1895be889d50718?pvs=21)
Trampa Cinética,"Un pulso invisible de fuerza pura intercepta el movimiento ajeno, haciéndolo pagar un precio por acercarse.","S, V",Instantáneo,"Cinético, Destino",,2º círculo,8 casillas,No,1 reacción,Instantáneo (https://app.notion.com/p/Instant-neo-fd7b6c1ffff0428884c14c221d445309?pvs=21)
Zanja de Barro,El suelo se abre en una grieta fangosa que succiona las botas y atrapa los pasos más decididos.,"M, S, V","Concentración, hasta 10 minutos","Catálisis, Cénit",Un poco de tierra mojada,2º círculo,"Línea de 6 casillas × 1 casilla de ancho, profundidad 1 casilla",No,1 acción,Concentración (https://app.notion.com/p/Concentraci-n-ae225ac34e8d45eaa1895be889d50718?pvs=21)
Raíces Veloces,"Raíces del tamaño de una muñeca brotan del suelo en un instante, buscando tobillos con inteligencia vegetal.","S, V","Concentración, hasta 1 minuto",Simbiosis,,2º círculo,12 casillas,No,1 acción bono,Concentración (https://app.notion.com/p/Concentraci-n-ae225ac34e8d45eaa1895be889d50718?pvs=21)
Zona de Verdad,El aire vibra con una tensión honesta que hace al embustero sentir los dientes apretados y las palabras pesadas.,"S, V",10 minutos,"Destino, Mente",,2º círculo,Esfera de radio 3 casillas centrada en un punto,No,1 acción,Intervalo de tiempo (https://app.notion.com/p/Intervalo-de-tiempo-15b82858a775800db5ebfb0fb6129245?pvs=21)
Pasar sin Dejar Rastro,,,,"Espejismo, Simbiosis",,2º círculo,,No,1 acción,
Refugio de la cuerda,La cuerda se eleva sola y abre un bolsillo entre planos donde el tiempo descansa más despacio.,"M, S, V",8 horas,"Origen, Realidad","Una cuerda de seda de 10 pies, 5 PO",2º círculo,Toque,No,1 acción,Intervalo de tiempo (https://app.notion.com/p/Intervalo-de-tiempo-15b82858a775800db5ebfb0fb6129245?pvs=21)
Fuerza Fantasmal,"Una fuerza invisible obedece tus instrucciones mentales, capaz de levantar, empujar o mantener objetos en su lugar.","M, S, V","Concentración, hasta 1 hora","Cinético, Origen",Un trozo de hilo de araña,2º círculo,6 casillas,No,1 acción,Concentración (https://app.notion.com/p/Concentraci-n-ae225ac34e8d45eaa1895be889d50718?pvs=21)
Cuerpo de Muelles,"Tus piernas y brazos se comprimen y liberan con violencia elástica, propulsándote a velocidades imposibles.","S, V","Concentración, hasta 1 minuto","Cinético, Cénit",,2º círculo,Personal,No,1 acción bono,Concentración (https://app.notion.com/p/Concentraci-n-ae225ac34e8d45eaa1895be889d50718?pvs=21)
Cuerpo Divisible,"Tu cuerpo se separa en piezas autónomas, cada segmento actuando con su propio propósito feroz.","S, V","Concentración, hasta 1 minuto","Origen, Realidad",,2º círculo,Personal,No,1 acción,Concentración (https://app.notion.com/p/Concentraci-n-ae225ac34e8d45eaa1895be889d50718?pvs=21)
Generación de Burbujas,"Tu piel exhala burbujas iridiscentes que flotan con propósitos arcanos, capturando enemigos y protegiendo aliados.","S, V","Concentración, hasta 1 minuto","Catálisis, Origen",,2º círculo,Personal (emisión en radio de 6 casillas),No,1 acción,Concentración (https://app.notion.com/p/Concentraci-n-ae225ac34e8d45eaa1895be889d50718?pvs=21)
